,envios,ventas,nivel
6592,638,154,3
6593,946,330,2
6594,66589,28545,1
6595,1232,506,1
6596,1078,594,2
6597,1122,374,3
6598,22959,10578,1
6599,880,418,1
6600,616,176,2
6601,242,198,2
6602,506,198,2
6603,264,66,2
6604,484,44,1
6605,0,0,3
6606,924,572,2
6607,1539,528,3
6608,704,220,2
6609,748,308,2
6610,1979,638,1
6611,968,528,2
6612,836,154,1
6613,264,176,2
6614,990,374,3
6615,330,88,1
6616,1188,484,2
6617,0,0,2
6618,1605,858,1
6619,14206,6993,1
6620,3123,1473,2
6621,1012,242,3
6622,704,198,2
6623,176,110,2
6624,44,22,2
6625,1100,616,2
6626,0,0,2
6627,4530,2001,3
6628,462,220,2
6629,176,66,2
6630,616,308,1
6631,1693,704,2
6632,1495,550,2
6633,1803,682,1
6634,1495,748,1
6635,748,396,2
6636,1979,858,2
6637,1473,660,2
6638,550,198,2
6639,638,352,1
6640,44,44,3
6641,1891,1078,1
6642,374,220,1
6643,1100,330,3
6644,1561,418,1
6645,880,374,2
6646,770,352,2
6647,374,220,2
6648,0,0,2
6649,594,264,2
6650,2111,484,1
6651,1188,352,2
6652,1012,220,1
6653,6487,1869,3
6654,814,330,2
6655,2419,1275,1
6656,1385,704,2
6657,1056,550,2
6658,2859,1385,2
6659,242,154,2
6660,330,154,1
6661,396,176,1
6662,594,330,2
6663,1473,638,2
6664,3145,1671,2
6665,3299,1363,3
6666,484,154,1
6667,748,396,1
6668,726,330,2
6669,308,132,2
6670,5476,1759,3
6671,484,220,1
6672,1737,858,1
6673,154,44,2
6674,1803,682,2
6675,528,286,1
6676,1297,418,3
6677,528,220,3
6678,198,110,1
6679,330,132,3
6680,220,110,3
6681,660,330,2
6682,3804,1803,3
6683,132,66,2
6684,308,132,1
6685,242,176,1
6686,594,286,2
6687,286,176,1
6688,15306,5960,1
6689,44,44,3
6690,2001,594,1
6691,3629,1825,2
6692,748,286,1
6693,4398,1034,3
6694,1979,726,3
6695,1385,528,1
6696,814,330,1
6697,198,66,3
6698,3387,1913,2
6699,198,22,3
6700,44,0,2
6701,1539,704,1
6702,176,22,1
6703,32239,14976,1
6704,220,88,3
6705,572,154,1
6706,220,154,2
6707,242,66,3
6708,660,198,1
6709,308,154,1
6710,1495,528,1
6711,1957,748,1
6712,2111,858,2
6713,1078,462,3
6714,682,220,3
6715,0,0,1
6716,352,110,1
6717,528,176,1
6718,594,242,2
6719,2375,396,3
6720,44,0,2
6721,330,132,1
6722,594,154,2
6723,484,220,2
6724,2331,1297,3
6725,352,176,1
6726,880,462,1
6727,2463,990,1
6728,1210,440,1
6729,88,66,3
6730,374,132,1
6731,5256,2309,1
6732,902,330,2
6733,198,88,1
6734,1649,286,2
6735,0,0,2
6736,1539,616,3
6737,418,198,1
6738,110,88,2
6739,3629,1341,3
6740,242,110,2
6741,5564,2529,2
6742,968,374,2
6743,0,0,1
6744,1957,1232,2
6745,1210,594,2
6746,726,220,1
6747,858,330,2
6748,594,286,2
6749,242,110,2
6750,154,66,3
6751,792,352,3
6752,286,66,2
6753,704,308,2
6754,660,176,3
6755,1188,396,1
6756,1385,484,2
6757,1693,682,2
6758,3101,946,1
6759,132,66,2
6760,572,198,2
6761,3695,924,1
6762,462,264,3
6763,374,176,1
6764,990,330,1
6765,814,440,1
6766,198,88,1
6767,242,66,1
6768,154,44,1
6769,154,44,2
6770,3958,1759,2
6771,704,110,1
6772,1253,462,2
6773,660,132,2
6774,1166,440,1
6775,154,88,1
6776,220,110,2
6777,1188,440,2
6778,1935,748,2
6779,1210,550,2
6780,242,66,3
6781,792,374,1
6782,1671,308,3
6783,0,0,2
6784,198,88,3
6785,1737,748,2
6786,1034,330,1
6787,1253,418,1
6788,1210,528,2
6789,770,242,1
6790,308,132,2
6791,110,44,2
6792,2309,748,2
6793,660,110,3
6794,286,198,3
6795,3651,1715,1
6796,1166,462,2
6797,462,154,2
6798,990,572,1
6799,1583,528,3
6800,242,132,1
6801,1671,792,1
6802,968,528,3
6803,638,352,2
6804,660,242,2
6805,616,396,1
6806,1407,374,1
6807,1078,374,3
6808,0,0,3
6809,1781,792,1
6810,374,176,1
6811,572,176,3
6812,770,242,2
6813,1341,616,2
6814,814,242,1
6815,88,66,2
6816,506,154,2
6817,1078,418,3
6818,462,154,1
6819,2463,660,3
6820,1034,440,1
6821,506,22,1
6822,0,0,1
6823,2221,660,1
6824,1429,704,2
6825,308,88,1
6826,1341,330,1
6827,814,484,3
6828,4904,1737,1
6829,1473,638,2
6830,6377,3035,1
6831,198,88,2
6832,2859,1297,1
6833,418,176,1
6834,1517,616,2
6835,528,66,2
6836,814,330,2
6837,198,132,2
6838,374,198,1
6839,132,110,2
6840,858,462,3
6841,550,220,1
6842,1297,550,3
6843,286,66,2
6844,308,176,3
6845,220,132,2
6846,1539,506,2
6847,2881,880,2
6848,264,88,2
6849,2067,792,3
6850,1297,682,3
6851,2265,770,3
6852,1385,616,2
6853,176,44,2
6854,0,0,3
6855,330,176,2
6856,352,66,2
6857,110,66,2
6858,1979,638,2
6859,220,88,2
6860,462,176,2
6861,44,44,1
6862,308,198,2
6863,660,220,2
6864,2045,616,3
6865,902,462,1
6866,836,352,2
6867,1671,748,3
6868,726,220,1
6869,1759,638,1
6870,0,0,1
6871,946,264,1
6872,154,110,2
6873,1473,484,2
6874,4310,2023,1
6875,1210,264,1
6876,484,198,2
6877,286,110,2
6878,990,440,2
6879,2749,1429,2
6880,1869,814,2
6881,1297,616,2
6882,2199,836,2
6883,572,132,2
6884,1166,418,2
6885,616,418,2
6886,0,0,2
6887,3167,1605,1
6888,374,198,3
6889,1539,902,2
6890,660,220,2
6891,484,220,2
6892,726,198,3
6893,792,418,2
6894,1166,110,1
6895,2067,858,3
6896,2903,748,1
6897,1078,396,2
6898,330,198,2
6899,1473,638,2
6900,726,418,2
6901,484,176,1
6902,506,110,3
6903,2859,1188,3
6904,1100,616,2
6905,2375,1078,1
6906,990,374,3
6907,44,22,3
6908,1100,484,2
6909,3409,1495,2
6910,242,110,3
6911,1144,352,1
6912,1012,220,3
6913,814,264,3
6914,836,264,3
6915,1056,572,2
6916,2617,1012,2
6917,440,220,2
6918,1561,374,2
6919,1253,528,1
6920,1561,308,2
6921,682,220,1
6922,0,0,1
6923,1232,330,1
6924,1144,484,2
6925,1539,682,2
6926,308,132,1
6927,1232,418,2
6928,242,88,2
6929,682,220,3
6930,748,352,2
6931,550,308,2
6932,572,220,1
6933,2001,924,3
6934,1979,1012,2
6935,726,308,2
6936,286,110,1
6937,484,176,1
6938,330,220,1
6939,220,132,2
6940,22,0,3
6941,3167,1407,2
6942,330,88,2
6943,550,286,2
6944,0,0,3
6945,638,198,3
6946,396,132,1
6947,374,88,2
6948,154,88,2
6949,220,132,2
6950,308,154,2
6951,550,198,2
6952,902,374,3
6953,3255,1078,1
6954,1012,462,2
6955,154,44,2
6956,0,0,1
6957,462,198,1
6958,286,132,2
6959,1605,1012,2
6960,682,352,2
6961,1253,506,1
6962,1363,330,2
6963,2529,968,2
6964,2683,616,1
6965,66,22,3
6966,2243,770,3
6967,1627,880,2
6968,242,110,2
6969,814,418,2
6970,110,88,1
6971,1869,880,1
6972,220,110,1
6973,1913,638,1
6974,286,176,2
6975,2221,990,1
6976,0,0,2
6977,2265,946,1
6978,946,198,2
6979,418,176,2
6980,902,330,3
6981,1363,308,2
6982,2485,1188,2
6983,902,308,2
6984,924,440,1
6985,154,66,1
6986,110,44,2
6987,2397,1253,2
6988,66,44,1
6989,572,220,2
6990,902,330,1
6991,704,352,2
6992,726,264,2
6993,264,88,2
6994,594,352,2
6995,594,286,2
6996,572,176,1
6997,242,88,2
6998,308,176,3
6999,132,66,1
7000,308,110,1
7001,1210,638,2
7002,242,132,3
7003,88,88,2
7004,770,330,1
7005,176,88,2
7006,484,242,2
7007,176,110,2
7008,550,330,2
7009,638,154,1
7010,704,286,3
7011,5080,2507,2
7012,1627,682,1
7013,132,44,1
7014,946,484,2
7015,1671,946,1
7016,5410,1649,2
7017,264,154,2
7018,770,176,2
7019,836,286,1
7020,704,330,2
7021,66,44,2
7022,352,176,2
7023,946,330,1
7024,770,198,1
7025,726,242,2
7026,22,0,3
7027,506,286,3
7028,440,132,1
7029,6443,1363,3
7030,748,484,2
7031,1979,924,1
7032,418,154,2
7033,220,88,3
7034,1539,682,1
7035,330,176,1
7036,1803,858,2
7037,242,44,2
7038,682,528,2
7039,528,264,1
7040,1078,330,2
7041,528,220,2
7042,704,264,2
7043,1100,594,1
7044,0,0,3
7045,1693,264,3
7046,1210,550,2
7047,352,154,1
7048,44,44,1
7049,528,198,2
7050,1253,418,1
7051,88,44,1
7052,704,396,2
7053,198,176,2
7054,1671,616,2
7055,110,88,1
7056,0,0,3
7057,352,176,1
7058,396,176,1
7059,770,418,2
7060,1781,880,1
7061,638,198,1
7062,1012,418,3
7063,0,0,2
7064,726,374,2
7065,792,396,3
7066,154,88,3
7067,264,132,1
7068,1957,1034,3
7069,0,0,3
7070,220,66,3
7071,682,154,2
7072,1781,506,3
7073,418,198,2
7074,2221,880,1
7075,242,110,1
7076,88,66,2
7077,418,198,2
7078,638,154,2
7079,572,198,3
7080,726,198,2
7081,308,154,1
7082,418,176,2
7083,352,176,2
7084,682,220,1
7085,374,88,1
7086,6311,2573,1
7087,726,220,1
7088,88,44,3
7089,1297,572,1
7090,748,286,1
7091,792,374,2
7092,880,330,2
7093,1253,352,2
7094,506,88,1
7095,66,0,3
7096,418,66,2
7097,572,198,2
7098,506,220,2
7099,286,132,1
7100,3211,1605,2
7101,198,110,2
7102,0,0,2
7103,1715,572,2
7104,418,154,1
7105,1012,484,2
7106,1056,594,1
7107,1297,374,1
7108,1188,484,1
7109,946,330,1
7110,110,66,3
7111,418,198,2
7112,2947,1275,2
7113,550,286,1
7114,27643,10446,1
7115,770,220,3
7116,858,418,3
7117,462,198,2
7118,638,374,2
7119,3013,858,1
7120,1341,528,2
7121,1539,792,2
7122,264,66,3
7123,198,110,2
7124,506,220,2
7125,836,308,2
7126,4970,2485,2
7127,418,110,1
7128,352,88,1
7129,1495,792,2
7130,220,132,2
7131,44,22,1
7132,704,330,3
7133,1210,418,1
7134,946,528,2
7135,3189,1210,2
7136,1847,1034,1
7137,1100,440,2
7138,550,176,1
7139,198,66,3
7140,2969,1561,2
7141,286,110,1
7142,418,176,2
7143,330,154,2
7144,1253,440,2
7145,286,110,2
7146,1913,616,2
7147,1407,770,2
7148,1122,550,2
7149,484,154,1
7150,528,88,2
7151,814,176,1
7152,1210,374,2
7153,2243,1166,2
7154,220,88,2
7155,0,0,1
7156,1122,418,1
7157,44,22,3
7158,1341,440,1
7159,484,176,1
7160,44,0,3
7161,330,132,3
7162,4222,1319,3
7163,902,286,3
7164,2419,990,1
7165,528,330,1
7166,528,132,1
7167,484,132,1
7168,242,132,2
7169,22,22,3
7170,2243,814,2
7171,286,66,2
7172,198,88,3
7173,2067,880,3
7174,682,374,2
7175,418,220,2
7176,704,220,1
7177,2287,1210,2
7178,1693,836,2
7179,396,176,2
7180,1166,440,2
7181,418,110,1
7182,2463,1297,1
7183,132,66,1
7184,770,418,1
7185,418,176,2
7186,660,264,2
7187,2903,1297,2
7188,594,242,2
7189,5850,2023,3
7190,924,330,3
7191,352,220,2
7192,88,0,3
7193,1451,506,1
7194,1056,484,2
7195,4024,1451,3
7196,2485,660,2
7197,2155,880,2
7198,638,440,2
7199,440,220,3
7200,110,110,2
7201,0,0,1
7202,418,220,1
7203,880,220,3
7204,858,352,2
7205,1275,660,1
7206,3782,1100,3
7207,836,242,3
7208,154,110,1
7209,1693,572,2
7210,484,132,3
7211,1144,396,1
7212,110,88,2
7213,1605,352,2
7214,2111,616,1
7215,396,132,2
7216,572,198,1
7217,374,132,2
7218,242,176,2
7219,462,154,3
7220,352,132,2
7221,462,198,2
7222,704,154,1
7223,1671,792,2
7224,308,176,2
7225,902,396,2
7226,616,198,2
7227,4640,2177,1
7228,1473,858,2
7229,374,220,1
7230,154,88,2
7231,352,220,2
7232,638,220,2
7233,1012,330,2
7234,0,0,3
7235,2617,836,2
7236,5036,1583,3
7237,814,220,1
7238,0,0,1
7239,1122,484,2
7240,4706,1759,1
7241,88,88,1
7242,1517,616,2
7243,132,22,1
7244,506,176,1
7245,154,88,3
7246,484,220,1
7247,5432,1847,2
7248,1671,814,2
7249,2793,990,3
7250,3782,1297,2
7251,880,330,2
7252,1363,616,2
7253,792,286,2
7254,792,110,1
7255,1144,550,1
7256,748,506,2
7257,858,198,1
7258,660,176,3
7259,2617,1210,2
7260,748,330,2
7261,748,374,2
7262,462,176,2
7263,1517,638,2
7264,154,66,1
7265,2991,880,2
7266,704,132,2
7267,5982,2045,3
7268,88,0,2
7269,1407,638,2
7270,550,286,2
7271,2661,990,2
7272,2221,1407,3
7273,88,44,2
7274,506,374,1
7275,308,132,1
7276,0,0,3
7277,88,22,2
7278,440,154,2
7279,1473,418,2
7280,0,0,1
7281,418,198,3
7282,242,198,2
7283,484,154,2
7284,1122,682,1
7285,374,88,2
7286,1253,638,1
7287,1012,462,2
7288,814,440,1
7289,132,44,1
7290,132,88,1
7291,374,110,1
7292,1407,792,1
7293,968,330,2
7294,880,660,1
7295,550,176,2
7296,1034,330,1
7297,814,396,1
7298,1913,506,2
7299,1715,1122,1
7300,2419,1210,2
7301,4420,1210,1
7302,2925,968,3
7303,1275,616,2
7304,88,0,2
7305,1012,396,2
7306,1649,704,1
7307,704,374,2
7308,704,286,1
7309,1473,528,1
7310,990,484,2
7311,506,154,3
7312,1078,528,2
7313,132,88,3
7314,616,242,2
7315,1737,1056,2
7316,748,242,1
7317,814,308,3
7318,396,88,1
7319,682,132,1
7320,484,88,2
7321,242,198,2
7322,660,308,1
7323,550,330,2
7324,858,374,3
7325,7807,4002,1
7326,880,418,1
7327,550,198,1
7328,748,286,2
7329,1144,528,3
7330,682,242,1
7331,0,0,2
7332,1275,330,3
7333,1253,660,1
7334,4244,1407,3
7335,2661,968,1
7336,1429,616,2
7337,2771,1253,1
7338,1737,594,2
7339,1407,748,1
7340,3255,1144,1
7341,0,0,2
7342,858,308,2
7343,1144,308,1
7344,0,0,1
7345,154,66,1
7346,1188,352,1
7347,242,132,1
7348,264,22,3
7349,1781,880,2
7350,550,110,2
7351,858,572,1
7352,1078,418,2
7353,550,220,2
7354,990,220,3
7355,902,506,1
7356,374,242,2
7357,1144,352,1
7358,44,22,2
7359,946,462,2
7360,286,132,2
7361,1451,550,1
7362,418,198,1
7363,506,176,1
7364,660,198,2
7365,814,198,1
7366,946,550,2
7367,396,132,3
7368,638,264,1
7369,2199,1078,2
7370,1693,660,2
7371,990,396,2
7372,308,88,2
7373,396,132,2
7374,1627,484,1
7375,264,132,2
7376,0,0,3
7377,418,176,1
7378,638,198,1
7379,2265,1297,2
7380,308,44,1
7381,132,88,2
7382,2221,946,2
7383,4970,946,3
7384,374,220,2
7385,1891,902,2
7386,1847,726,1
7387,3453,1122,1
7388,0,0,1
7389,1144,418,2
7390,1056,484,1
7391,1034,506,2
7392,770,418,2
7393,1561,550,1
7394,2815,1034,2
7395,418,220,3
7396,968,330,2
7397,660,242,1
7398,1737,462,1
7399,1935,924,1
7400,0,0,2
7401,946,528,2
7402,704,308,2
7403,924,154,2
7404,0,0,1
7405,330,198,2
7406,330,110,3
7407,440,198,2
7408,44,0,3
7409,1825,836,3
7410,704,352,1
7411,1078,330,3
7412,396,176,3
7413,1385,418,2
7414,2265,792,1
7415,1825,506,1
7416,814,330,1
7417,528,176,3
7418,2133,748,3
7419,132,66,1
7420,220,154,2
7421,132,22,3
7422,0,0,3
7423,616,110,1
7424,1583,352,1
7425,44,0,3
7426,1012,308,3
7427,528,198,1
7428,352,132,1
7429,902,396,2
7430,682,176,1
7431,220,44,2
7432,880,352,2
7433,0,0,2
7434,264,220,2
7435,572,176,1
7436,924,308,2
7437,1122,242,1
7438,704,352,1
7439,1232,484,2
7440,880,352,2
7441,242,110,1
7442,0,0,1
7443,0,0,2
7444,1122,330,2
7445,0,0,1
7446,22,0,1
7447,1363,594,2
7448,1671,484,1
7449,1341,528,2
7450,2529,1385,1
7451,1451,572,1
7452,286,110,3
7453,154,88,3
7454,2353,638,1
7455,814,330,1
7456,374,132,1
7457,506,132,2
7458,1232,132,1
7459,1385,264,2
7460,2529,638,2
7461,770,132,2
7462,1122,396,1
7463,3519,924,3
7464,1671,550,1
7465,0,0,2
7466,0,0,1
7467,1385,726,2
7468,2155,1034,3
7469,1253,594,1
7470,550,176,3
7471,902,198,3
7472,1012,352,2
7473,242,88,1
7474,440,66,2
7475,792,330,1
7476,2287,1056,1
7477,880,396,1
7478,308,154,2
7479,1583,792,2
7480,1891,572,1
7481,594,308,3
7482,792,220,1
7483,1781,462,2
7484,506,286,2
7485,308,88,1
7486,2859,1363,2
7487,1693,836,2
7488,528,308,3
7489,638,308,1
7490,1451,748,2
7491,2023,836,1
7492,1671,484,2
7493,22,0,3
7494,1473,792,1
7495,1781,814,1
7496,3651,1473,1
7497,1825,946,1
7498,726,198,1
7499,638,176,2
7500,1693,550,2
7501,0,0,3
7502,1385,660,2
7503,682,220,3
7504,242,66,3
7505,638,220,1
7506,88,44,3
7507,814,418,2
7508,3629,1759,1
7509,638,242,2
7510,132,88,2
7511,2595,1210,1
7512,4662,1957,2
7513,902,462,3
7514,594,264,3
7515,418,242,1
7516,330,132,2
7517,330,198,1
7518,2221,1166,2
7519,2001,572,2
7520,66,22,2
7521,2001,748,2
7522,440,176,2
7523,1649,990,2
7524,3365,1232,3
7525,286,176,2
7526,440,198,2
7527,1166,550,1
7528,0,0,3
7529,902,484,2
7530,2661,1605,2
7531,220,110,1
7532,1649,990,2
7533,1078,286,1
7534,682,220,1
7535,462,198,2
7536,286,132,1
7537,3475,1297,2
7538,726,220,2
7539,0,0,1
7540,440,220,1
7541,770,308,1
7542,836,286,2
7543,572,242,2
7544,154,66,2
7545,682,132,3
7546,264,132,1
7547,330,110,3
7548,2199,902,2
7549,484,286,1
7550,1319,462,1
7551,418,198,2
7552,924,484,3
7553,1825,616,2
7554,2991,1869,2
7555,682,264,1
7556,880,176,1
7557,308,176,2
7558,1341,154,1
7559,462,154,2
7560,1781,638,2
7561,528,242,3
7562,550,308,2
7563,2749,1166,2
7564,792,330,2
7565,220,88,3
7566,198,22,1
7567,704,374,1
7568,660,286,1
7569,1078,352,1
7570,880,418,3
7571,1627,572,1
7572,6245,1935,3
7573,1891,550,1
7574,1297,418,2
7575,990,264,1
7576,2067,1012,2
7577,1363,616,3
7578,1715,660,2
7579,462,88,3
7580,418,220,1
7581,242,110,3
7582,1166,330,3
7583,1319,704,2
7584,242,110,1
7585,1913,704,1
7586,1297,616,2
7587,3519,1671,2
7588,3035,1407,3
7589,990,176,1
7590,1297,616,2
7591,462,198,2
7592,814,308,2
7593,880,88,1
7594,1012,352,2
7595,0,0,2
7596,220,88,1
7597,682,132,2
7598,198,44,1
7599,1034,440,1
7600,1297,594,2
7601,22,22,3
7602,88,22,1
7603,1451,814,1
7604,792,374,2
7605,396,176,2
7606,858,198,2
7607,2507,1012,2
7608,440,176,2
7609,1627,572,2
7610,924,352,3
7611,990,396,3
7612,968,594,2
7613,638,220,1
7614,814,88,3
7615,176,154,2
7616,748,286,2
7617,3057,1275,3
7618,2309,528,1
7619,2067,770,2
7620,704,198,1
7621,660,220,2
7622,198,44,3
7623,1188,616,2
7624,396,176,2
7625,154,88,2
7626,2815,1385,2
7627,836,330,2
7628,132,44,3
7629,814,308,2
7630,374,110,1
7631,1144,396,2
7632,550,242,2
7633,132,88,3
7634,682,264,2
7635,330,88,2
7636,1627,484,2
7637,2573,968,2
7638,6267,2155,3
7639,704,264,2
7640,3782,1495,3
7641,594,132,3
7642,154,66,2
7643,1232,638,1
7644,8818,3738,3
7645,2353,1034,3
7646,88,44,1
7647,198,66,2
7648,308,66,2
7649,616,396,1
7650,2551,1144,2
7651,3541,1451,2
7652,22,0,3
7653,616,374,1
7654,154,110,1
7655,682,330,1
7656,770,308,2
7657,220,44,2
7658,132,44,3
7659,2705,1100,2
7660,264,176,2
7661,990,704,1
7662,0,0,3
7663,1539,748,2
7664,484,154,1
7665,330,176,1
7666,440,264,2
7667,1210,594,2
7668,1539,440,1
7669,286,66,2
7670,220,132,1
7671,0,0,3
7672,1210,374,3
7673,176,66,2
7674,1495,616,1
7675,154,22,1
7676,2639,1122,1
7677,2881,1144,2
7678,0,0,1
7679,264,110,2
7680,286,198,2
7681,1056,374,1
7682,264,176,1
7683,792,352,2
7684,22,22,2
7685,3321,924,3
7686,220,66,1
7687,2485,1122,1
7688,1605,572,1
7689,1561,396,2
7690,1759,858,2
7691,946,660,1
7692,308,176,1
7693,814,440,1
7694,748,484,2
7695,198,44,3
7696,0,0,2
7697,264,198,1
7698,286,66,2
7699,836,308,2
7700,968,330,2
7701,308,88,2
7702,44,22,1
7703,1495,550,2
7704,1188,418,1
7705,2177,770,3
7706,1056,308,1
7707,3101,946,2
7708,1012,220,1
7709,682,330,2
7710,4816,1957,3
7711,154,22,1
7712,814,154,2
7713,682,440,2
7714,396,198,1
7715,836,198,2
7716,748,440,2
7717,22,22,3
7718,264,88,2
7719,1649,704,2
7720,1495,440,1
7721,286,176,2
7722,44,22,3
7723,682,264,2
7724,682,308,2
7725,2441,946,3
7726,1100,528,2
7727,0,0,2
7728,748,440,1
7729,66,44,2
7730,22,0,3
7731,176,110,1
7732,946,396,1
7733,220,88,2
7734,3453,1341,1
7735,220,88,1
7736,1539,396,2
7737,594,308,2
7738,506,220,1
7739,4486,1649,3
7740,2155,836,3
7741,2969,1385,1
7742,352,154,1
7743,1166,572,2
7744,1869,726,1
7745,968,286,1
7746,4024,1232,1
7747,110,44,3
7748,0,0,3
7749,330,66,3
7750,220,88,1
7751,2353,880,1
7752,88,44,2
7753,2859,968,1
7754,110,88,2
7755,902,308,3
7756,726,220,1
7757,528,176,2
7758,198,88,2
7759,0,0,2
7760,4376,1517,1
7761,220,44,1
7762,0,0,3
7763,506,176,2
7764,374,44,1
7765,594,176,2
7766,858,352,2
7767,2023,880,1
7768,1935,638,2
7769,22,0,1
7770,550,242,2
7771,330,132,1
7772,1539,660,2
7773,616,308,2
7774,264,88,2
7775,638,198,2
7776,286,198,1
7777,1232,726,2
7778,968,506,2
7779,396,264,1
7780,3563,1034,2
7781,506,286,2
7782,1012,528,1
7783,462,154,2
7784,2639,946,3
7785,418,242,2
7786,990,286,1
7787,1473,418,1
7788,242,110,2
7789,0,0,1
7790,660,198,2
7791,264,110,1
7792,1781,902,2
7793,308,220,2
7794,770,308,1
7795,946,330,1
7796,220,110,1
7797,682,286,1
7798,176,66,2
7799,1825,770,1
7800,814,352,3
7801,374,176,1
7802,880,264,2
7803,2705,1012,1
7804,2463,1144,2
7805,1232,572,2
7806,176,110,2
7807,550,264,2
7808,220,132,1
7809,2309,858,1
7810,242,88,2
7811,1451,770,1
7812,88,66,2
7813,594,374,2
7814,0,0,2
7815,770,330,1
7816,572,154,2
7817,528,198,2
7818,3936,1539,3
7819,1825,660,2
7820,1957,968,1
7821,352,110,3
7822,308,220,1
7823,1363,594,2
7824,308,66,3
7825,880,352,1
7826,1495,550,1
7827,0,0,2
7828,2023,902,2
7829,1935,264,1
7830,814,462,2
7831,0,0,1
7832,396,154,2
7833,814,242,3
7834,2639,836,1
7835,1297,594,3
7836,1561,396,1
7837,0,0,3
7838,1803,902,1
7839,242,44,1
7840,814,286,3
7841,3321,1188,2
7842,2441,1319,1
7843,1078,264,2
7844,308,110,2
7845,484,264,2
7846,462,198,2
7847,1869,748,1
7848,594,264,2
7849,1957,660,3
7850,770,264,2
7851,330,110,1
7852,990,440,1
7853,0,0,1
7854,6070,2683,1
7855,352,132,2
7856,528,176,2
7857,1451,462,1
7858,1473,814,2
7859,704,132,1
7860,286,66,1
7861,1144,396,2
7862,1297,616,2
7863,198,110,1
7864,1253,352,2
7865,704,396,2
7866,1122,374,2
7867,0,0,3
7868,3541,1847,2
7869,242,110,3
7870,220,198,2
7871,1275,286,2
7872,3914,1671,3
7873,1253,836,2
7874,440,198,2
7875,484,220,2
7876,396,176,2
7877,462,176,2
7878,66,44,2
7879,286,110,2
7880,3079,1078,3
7881,792,330,3
7882,0,0,2
7883,440,176,3
7884,572,330,2
7885,2001,1144,1
7886,4244,1253,2
7887,374,110,1
7888,792,220,1
7889,1935,1144,2
7890,2089,858,2
7891,858,396,2
7892,0,0,1
7893,3914,902,1
7894,2243,858,2
7895,132,88,1
7896,374,198,2
7897,990,352,2
7898,1363,792,3
7899,990,594,2
7900,462,154,1
7901,220,154,1
7902,2463,748,2
7903,946,308,1
7904,616,220,1
7905,1781,858,1
7906,110,44,2
7907,1012,308,2
7908,836,308,1
7909,2111,616,1
7910,198,88,3
7911,1319,638,2
7912,1847,616,1
7913,220,44,2
7914,2881,1122,1
7915,352,132,3
7916,1034,506,1
7917,858,286,2
7918,1210,704,1
7919,352,44,1
7920,572,396,1
7921,1957,638,2
7922,726,308,2
7923,220,88,2
7924,2903,1188,1
7925,418,154,1
7926,440,198,1
7927,2639,1297,2
7928,924,418,1
7929,242,88,2
7930,1363,638,2
7931,2375,1056,2
7932,990,440,1
7933,880,418,1
7934,0,0,1
7935,1539,682,1
7936,264,110,2
7937,550,154,1
7938,484,132,1
7939,506,198,2
7940,4552,2287,1
7941,154,88,2
7942,88,44,2
7943,132,66,1
7944,0,0,2
7945,2045,1232,2
7946,3563,1166,2
7947,550,242,3
7948,506,198,2
7949,638,154,2
7950,1056,550,1
7951,0,0,3
7952,704,264,2
7953,176,66,2
7954,0,0,3
7955,572,242,2
7956,880,572,1
7957,1275,286,1
7958,462,220,2
7959,0,0,2
7960,1693,814,1
7961,22,22,2
7962,572,220,1
7963,748,440,2
7964,2551,1144,3
7965,3695,1781,2
7966,1100,374,1
7967,242,110,2
7968,506,154,3
7969,396,220,2
7970,1034,396,3
7971,1056,176,1
7972,638,418,2
7973,7741,3826,3
7974,836,396,2
7975,396,198,2
7976,682,198,2
7977,1144,374,1
7978,0,0,3
7979,2441,1078,3
7980,1275,264,3
7981,220,132,2
7982,6202,1913,3
7983,726,198,3
7984,660,198,2
7985,3870,1429,1
7986,1517,484,1
7987,484,176,3
7988,1144,352,2
7989,396,198,2
7990,682,286,1
7991,2111,946,1
7992,1012,352,1
7993,1275,396,2
7994,220,66,2
7995,1341,418,2
7996,770,264,3
7997,3629,1341,2
7998,792,506,3
7999,220,88,2
8000,506,176,1
8001,5168,1825,3
8002,352,154,2
8003,374,66,2
8004,1429,638,2
8005,0,0,2
8006,418,220,2
8007,550,264,2
8008,682,396,1
8009,2617,462,1
8010,374,220,1
8011,396,198,2
8012,704,286,2
8013,792,242,1
8014,308,176,3
8015,1122,660,1
8016,1078,374,3
8017,418,198,1
8018,352,132,2
8019,770,418,2
8020,638,264,2
8021,5278,2067,2
8022,88,22,2
8023,902,396,3
8024,1253,418,2
8025,2243,1078,1
8026,1012,286,1
8027,88,66,2
8028,1451,638,3
8029,3892,968,1
8030,8115,2749,3
8031,528,308,1
8032,2507,1144,3
8033,440,110,1
8034,528,176,3
8035,550,286,2
8036,0,0,2
8037,66,22,3
8038,792,396,2
8039,110,88,1
8040,4794,792,3
8041,418,88,2
8042,946,396,2
8043,0,0,2
8044,792,352,1
8045,506,330,1
8046,902,308,3
8047,0,0,2
8048,308,176,2
8049,1012,330,2
8050,682,264,2
8051,3497,1319,1
8052,88,44,1
8053,0,0,2
8054,946,462,2
8055,176,110,2
8056,550,308,2
8057,792,286,2
8058,594,286,1
8059,198,44,2
8060,2419,858,1
8061,858,528,1
8062,264,66,3
8063,44,0,3
8064,176,88,1
8065,110,88,1
8066,528,286,1
8067,946,418,1
8068,484,110,3
