,envios,ventas,nivel
379,748,396,3
380,462,198,2
381,1319,440,1
382,660,264,2
383,2155,1166,2
384,0,0,2
385,1847,836,3
386,1715,880,1
387,22,0,3
388,968,264,1
389,528,352,1
390,2353,946,1
391,2881,1122,3
392,2661,1275,2
393,880,242,1
394,1122,484,2
395,242,198,2
396,220,66,3
397,440,132,2
398,902,154,3
399,66,22,2
400,308,176,1
401,308,132,3
402,176,88,1
403,1034,330,2
404,308,88,2
405,572,418,2
406,308,110,3
407,1693,572,2
408,1495,726,2
409,110,88,1
410,770,374,1
411,2023,748,3
412,286,66,2
413,990,308,2
414,792,308,1
415,462,242,1
416,880,396,2
417,1913,616,1
418,682,220,3
419,1188,616,3
420,594,286,2
421,2331,1319,3
422,352,198,2
423,3145,726,2
424,1034,528,2
425,946,176,3
426,660,198,1
427,704,330,2
428,4772,1297,1
429,44,44,1
430,858,286,1
431,858,242,3
432,110,44,2
433,2111,1122,3
434,484,110,1
435,1012,572,2
436,858,374,1
437,1319,484,1
438,242,110,1
439,198,132,1
440,5102,2199,1
441,0,0,1
442,1341,418,1
443,352,44,2
444,0,0,3
445,66,66,2
446,506,286,2
447,1166,396,3
448,1122,616,2
449,550,220,1
450,352,154,1
451,418,176,2
452,66,22,3
453,132,44,1
454,374,198,2
455,616,286,2
456,176,0,3
457,1341,440,1
458,2221,858,2
459,726,308,1
460,528,132,1
461,2661,1297,1
462,1188,506,1
463,770,264,1
464,440,242,2
465,484,198,1
466,638,264,1
467,396,132,1
468,1034,484,2
469,110,22,1
470,242,132,2
471,880,308,1
472,858,220,1
473,2287,1056,2
474,660,264,2
475,506,198,1
476,2221,1232,2
477,176,132,2
478,2683,1407,2
479,1385,418,2
480,682,330,1
481,1891,990,2
482,396,220,1
483,0,0,3
484,2089,1034,2
485,946,308,1
486,264,132,2
487,4574,1671,2
488,638,132,2
489,352,132,2
490,440,264,3
491,748,352,3
492,264,154,2
493,3673,726,1
494,1034,594,1
495,704,264,2
496,1847,550,1
497,462,132,1
498,330,154,2
499,704,242,1
500,154,66,1
501,924,440,1
502,220,88,2
503,484,220,2
504,352,132,2
505,1429,528,1
