n,%adqui
0.5,990
0.3333333333333333,684
0.4,444
0.6666666666666666,325
0.42857142857142855,290
0.375,275
0.25,272
0.4444444444444444,243
0.5714285714285714,239
0.6,223
1.0,218
0.2857142857142857,216
0.0,214
0.36363636363636365,202
0.45454545454545453,201
0.5555555555555556,164
0.3,154
0.2,152
0.38461538461538464,149
0.4166666666666667,138
0.46153846153846156,136
0.3076923076923077,132
0.35714285714285715,123
0.5454545454545454,122
0.75,114
0.2727272727272727,114
0.625,105
0.4375,101
0.4666666666666667,100
0.35294117647058826,100
0.4117647058823529,93
0.42105263157894735,92
0.8,91
0.2222222222222222,90
0.47058823529411764,90
0.3684210526315789,89
0.16666666666666666,89
0.5384615384615384,88
0.3888888888888889,88
0.4090909090909091,85
0.3125,85
0.5333333333333333,81
0.47368421052631576,81
0.29411764705882354,75
0.5625,75
0.5294117647058824,75
0.45,74
0.391304347826087,74
0.23076923076923078,73
0.7142857142857143,72
0.5833333333333334,70
0.26666666666666666,68
0.5263157894736842,67
0.38095238095238093,67
0.34782608695652173,66
0.47619047619047616,66
0.3157894736842105,65
0.2777777777777778,65
0.43478260869565216,63
0.34615384615384615,62
0.35,61
0.5882352941176471,59
0.41379310344827586,57
0.3181818181818182,55
0.21428571428571427,54
0.6153846153846154,54
0.36,53
0.37037037037037035,52
0.14285714285714285,50
0.23529411764705882,49
0.5238095238095238,48
0.6363636363636364,46
0.4074074074074074,46
0.18181818181818182,45
0.7,45
0.3793103448275862,44
0.32,44
0.32142857142857145,42
0.44,42
0.6923076923076923,41
0.39285714285714285,41
0.5217391304347826,41
0.48,41
0.3448275862068966,40
0.4583333333333333,40
0.4782608695652174,40
0.4642857142857143,39
0.48148148148148145,39
0.6428571428571429,38
0.40625,37
0.8333333333333334,37
0.125,37
0.2631578947368421,37
0.52,36
0.2692307692307692,36
0.30434782608695654,36
0.7272727272727273,36
0.56,36
0.2962962962962963,34
0.4230769230769231,34
0.3225806451612903,34
0.28,32
0.1875,32
0.5185185185185185,31
0.45161290322580644,31
0.3103448275862069,31
0.22727272727272727,31
0.38235294117647056,30
0.3783783783783784,30
0.4482758620689655,30
0.5416666666666666,30
0.2916666666666667,30
0.35135135135135137,30
0.4827586206896552,30
0.3548387096774194,29
0.4411764705882353,29
0.4186046511627907,29
0.3870967741935484,29
0.42424242424242425,29
0.36666666666666664,28
0.46875,28
0.5789473684210527,28
0.2608695652173913,28
0.55,27
0.2571428571428571,27
0.4318181818181818,26
0.43333333333333335,26
0.41935483870967744,26
0.5769230769230769,26
0.21739130434782608,26
0.30303030303030304,26
0.4857142857142857,26
0.4838709677419355,25
0.3235294117647059,25
0.21052631578947367,25
0.5652173913043478,25
0.34210526315789475,25
0.6190476190476191,25
0.2972972972972973,24
0.5909090909090909,23
0.5172413793103449,23
0.28125,23
0.2647058823529412,23
0.34146341463414637,23
0.24242424242424243,23
0.4358974358974359,22
0.34375,22
0.34285714285714286,22
0.2903225806451613,22
0.3170731707317073,22
0.3142857142857143,22
0.41025641025641024,21
0.43902439024390244,21
0.48717948717948717,21
0.3488372093023256,21
0.27586206896551724,21
0.1111111111111111,21
0.25925925925925924,21
0.39473684210526316,20
0.631578947368421,20
0.3611111111111111,20
0.25806451612903225,20
0.15384615384615385,20
0.24,20
0.17647058823529413,20
0.36538461538461536,20
0.475,20
0.3409090909090909,20
0.5135135135135135,20
0.43137254901960786,19
0.32432432432432434,19
0.35555555555555557,19
0.6111111111111112,19
0.5428571428571428,19
0.3958333333333333,19
0.40816326530612246,19
0.37142857142857144,19
0.5151515151515151,19
0.5483870967741935,18
0.5161290322580645,18
0.4523809523809524,18
0.2413793103448276,18
0.5357142857142857,18
0.3953488372093023,18
0.6470588235294118,18
0.41304347826086957,18
0.4722222222222222,18
0.3939393939393939,18
0.5666666666666667,18
0.40476190476190477,18
0.425,17
0.358974358974359,17
0.5588235294117647,17
0.7058823529411765,17
0.3055555555555556,17
0.3902439024390244,17
0.45714285714285713,17
0.3673469387755102,17
0.4473684210526316,17
0.2564102564102564,17
0.3469387755102041,17
0.34545454545454546,17
0.23809523809523808,16
0.37735849056603776,16
0.3584905660377358,16
0.40425531914893614,16
0.5121951219512195,16
0.19047619047619047,16
0.45194424064563465,16
0.53125,16
0.8571428571428571,16
0.45098039215686275,16
0.20689655172413793,16
0.4594594594594595,16
0.3829787234042553,16
0.5142857142857142,16
0.4418604651162791,16
0.37777777777777777,15
0.6071428571428571,15
0.1,15
0.33359936153232245,15
0.275,15
0.36585365853658536,15
0.4634146341463415,15
0.3191489361702128,15
0.525,15
0.3877551020408163,15
0.3090909090909091,15
0.15789473684210525,15
0.5609756097560976,15
0.48484848484848486,15
0.43243243243243246,15
0.48936170212765956,15
0.425531914893617,15
0.4447653429602888,15
0.32558139534883723,15
0.3695652173913043,15
0.4565043894652833,15
0.29545454545454547,15
0.46511627906976744,15
0.37209302325581395,14
0.32608695652173914,14
0.3023255813953488,14
0.5517241379310345,14
0.15,14
0.40540540540540543,14
0.6875,14
0.2702702702702703,14
0.5106382978723404,14
0.22857142857142856,14
0.3111111111111111,14
0.38,14
0.24324324324324326,14
0.5925925925925926,14
0.4146341463414634,14
0.46808510638297873,13
0.64,13
0.49019607843137253,13
0.5405405405405406,13
0.41299638989169674,13
0.2926829268292683,13
0.46938775510204084,13
0.39622641509433965,13
0.22580645161290322,13
0.47494217424826524,13
0.5806451612903226,13
0.4107142857142857,13
